observation_date,Price_($)
1980-01-01,0.480
1980-02-01,0.434
1980-03-01,0.411
1980-04-01,0.582
1980-05-01,0.492
1980-06-01,0.415
1980-07-01,0.401
1980-08-01,0.370
1980-09-01,0.327
1980-10-01,0.351
1980-11-01,0.379
1980-12-01,0.555
1981-01-01,0.503
1981-02-01,0.634
1981-03-01,0.600
1981-04-01,0.579
1981-05-01,0.519
1981-06-01,0.402
1981-07-01,0.457
1981-08-01,0.342
1981-09-01,0.364
1981-10-01,0.441
1981-11-01,0.437
1981-12-01,0.448
1982-01-01,0.647
1982-02-01,0.758
1982-03-01,0.730
1982-04-01,0.514
1982-05-01,0.541
1982-06-01,0.455
1982-07-01,0.405
1982-08-01,0.382
1982-09-01,0.335
1982-10-01,0.392
1982-11-01,0.441
1982-12-01,0.411
1983-01-01,0.613
1983-02-01,0.638
1983-03-01,0.810
1983-04-01,0.821
1983-05-01,0.589
1983-06-01,0.471
1983-07-01,0.462
1983-08-01,0.388
1983-09-01,0.352
1983-10-01,0.445
1983-11-01,0.388
1983-12-01,0.369
1984-01-01,0.519
1984-02-01,0.737
1984-03-01,0.808
1984-04-01,0.639
1984-05-01,0.522
1984-06-01,0.506
1984-07-01,0.416
1984-08-01,0.356
1984-09-01,0.370
1984-10-01,0.416
1984-11-01,0.462
1984-12-01,0.522
1985-01-01,0.578
1985-02-01,0.637
1985-03-01,0.651
1985-04-01,0.605
1985-05-01,0.463
1985-06-01,0.467
1985-07-01,0.445
1985-08-01,0.406
1985-09-01,0.372
1985-10-01,0.445
1985-11-01,0.506
1985-12-01,0.497
1986-01-01,0.618
1986-02-01,0.588
1986-03-01,0.624
1986-04-01,0.625
1986-05-01,0.477
1986-06-01,0.521
1986-07-01,0.510
1986-08-01,0.409
1986-09-01,0.410
1986-10-01,0.403
1986-11-01,0.479
1986-12-01,0.421
1987-01-01,0.595
1987-02-01,0.838
1987-03-01,0.737
1987-04-01,0.581
1987-05-01,0.658
1987-06-01,0.541
1987-07-01,0.455
1987-08-01,0.418
1987-09-01,0.516
1987-10-01,0.515
1987-11-01,0.488
1987-12-01,0.498
1988-01-01,0.549
1988-02-01,0.527
1988-03-01,0.629
1988-04-01,0.765
1988-05-01,0.591
1988-06-01,0.617
1988-07-01,0.633
1988-08-01,0.513
1988-09-01,0.534
1988-10-01,0.505
1988-11-01,0.469
1988-12-01,0.490
1989-01-01,0.748
1989-02-01,0.770
1989-03-01,0.746
1989-04-01,0.780
1989-05-01,0.601
1989-06-01,0.679
1989-07-01,0.589
1989-08-01,0.504
1989-09-01,0.518
1989-10-01,0.562
1989-11-01,0.736
1989-12-01,0.636
1990-01-01,0.776
1990-02-01,0.756
1990-03-01,0.623
1990-04-01,0.674
1990-05-01,0.555
1990-06-01,0.514
1990-07-01,0.607
1990-08-01,0.515
1990-09-01,0.487
1990-10-01,0.531
1990-11-01,0.578
1990-12-01,0.562
1991-01-01,0.712
1991-02-01,0.788
1991-03-01,0.766
1991-04-01,0.921
1991-05-01,0.685
1991-06-01,0.757
1991-07-01,0.571
1991-08-01,0.550
1991-09-01,0.505
1991-10-01,0.522
1991-11-01,0.524
1991-12-01,0.551
1992-01-01,0.741
1992-02-01,0.907
1992-03-01,0.936
1992-04-01,0.769
1992-05-01,0.623
1992-06-01,0.607
1992-07-01,0.596
1992-08-01,0.558
1992-09-01,0.594
1992-10-01,0.655
1992-11-01,0.534
1992-12-01,0.510
1993-01-01,0.519
1993-02-01,0.577
1993-03-01,0.635
1993-04-01,0.814
1993-05-01,0.669
1993-06-01,0.526
1993-07-01,0.528
1993-08-01,0.505
1993-09-01,0.484
1993-10-01,0.513
1993-11-01,0.778
1993-12-01,0.927
1994-01-01,0.707
1994-02-01,0.594
1994-03-01,0.607
1994-04-01,0.606
1994-05-01,0.553
1994-06-01,0.698
1994-07-01,0.635
1994-08-01,0.475
1994-09-01,0.481
1994-10-01,0.603
1994-11-01,0.595
1994-12-01,0.691
1995-01-01,1.073
1995-02-01,0.945
1995-03-01,0.897
1995-04-01,0.622
1995-05-01,0.639
1995-06-01,0.679
1995-07-01,0.638
1995-08-01,0.580
1995-09-01,0.600
1995-10-01,0.568
1995-11-01,0.556
1995-12-01,0.530
1996-01-01,0.799
1996-02-01,0.923
1996-03-01,1.004
1996-04-01,0.768
1996-05-01,0.609
1996-06-01,0.603
1996-07-01,0.575
1996-08-01,0.545
1996-09-01,0.516
1996-10-01,0.750
1996-11-01,0.756
1996-12-01,0.603
1997-01-01,0.688
1997-02-01,0.738
1997-03-01,0.724
1997-04-01,0.693
1997-05-01,0.755
1997-06-01,0.627
1997-07-01,0.635
1997-08-01,0.628
1997-09-01,0.619
1997-10-01,0.595
1997-11-01,0.606
1997-12-01,0.577
1998-01-01,#N/A
1998-02-01,#N/A
1998-03-01,#N/A
1998-04-01,0.903
1998-05-01,#N/A
1998-06-01,#N/A
1998-07-01,#N/A
1998-08-01,#N/A
1998-09-01,#N/A
1998-10-01,#N/A
1998-11-01,#N/A
1998-12-01,#N/A
1999-01-01,#N/A
1999-02-01,#N/A
1999-03-01,1.070
1999-04-01,0.910
1999-05-01,0.833
1999-06-01,0.764
1999-07-01,0.709
1999-08-01,0.726
1999-09-01,0.798
1999-10-01,0.955
1999-11-01,0.976
1999-12-01,0.841
2000-01-01,0.926
2000-02-01,0.978
2000-03-01,1.126
2000-04-01,0.987
