observation_date,APU0000FL2101
2006-01-01,1.341
2006-02-01,1.405
2006-03-01,1.383
2006-04-01,1.476
2006-05-01,1.476
2006-06-01,1.320
2006-07-01,1.237
2006-08-01,1.359
2006-09-01,1.430
2006-10-01,1.410
2006-11-01,1.429
2006-12-01,1.455
2007-01-01,1.612
2007-02-01,1.817
2007-03-01,1.631
2007-04-01,1.545
2007-05-01,1.504
2007-06-01,1.425
2007-07-01,1.344
2007-08-01,1.373
2007-09-01,1.494
2007-10-01,1.571
2007-11-01,1.757
2007-12-01,1.775
2008-01-01,1.724
2008-02-01,1.682
2008-03-01,1.587
2008-04-01,1.557
2008-05-01,1.581
2008-06-01,1.590
2008-07-01,1.609
2008-08-01,1.748
2008-09-01,1.884
2008-10-01,1.834
2008-11-01,1.912
2008-12-01,1.821
2009-01-01,1.851
2009-02-01,1.758
2009-03-01,1.762
2009-04-01,1.692
2009-05-01,1.662
2009-06-01,1.637
2009-07-01,1.680
2009-08-01,1.697
2009-09-01,1.678
2009-10-01,1.621
2009-11-01,1.931
2009-12-01,2.097
2010-01-01,1.959
2010-02-01,1.822
2010-03-01,1.776
2010-04-01,1.795
2010-05-01,1.720
2010-06-01,1.847
2010-07-01,1.796
2010-08-01,1.758
2010-09-01,1.781
2010-10-01,1.674
2010-11-01,1.758
2010-12-01,1.828
2011-01-01,1.866
2011-02-01,1.993
2011-03-01,2.182
2011-04-01,1.772
2011-05-01,1.760
2011-06-01,1.638
2011-07-01,1.619
2011-08-01,1.660
2011-09-01,1.685
2011-10-01,1.723
2011-11-01,1.758
2011-12-01,1.707
2012-01-01,1.671
2012-02-01,1.630
2012-03-01,1.509
2012-04-01,1.470
2012-05-01,1.422
2012-06-01,1.422
2012-07-01,1.520
2012-08-01,1.506
2012-09-01,1.533
2012-10-01,1.529
2012-11-01,1.519
2012-12-01,1.487
2013-01-01,1.924
2013-02-01,2.114
2013-03-01,2.072
2013-04-01,1.727
2013-05-01,1.457
2013-06-01,1.424
2013-07-01,1.543
2013-08-01,1.620
2013-09-01,1.559
2013-10-01,1.630
2013-11-01,1.772
2013-12-01,1.701
2014-01-01,1.650
2014-02-01,1.510
2014-03-01,1.565
2014-04-01,1.569
2014-05-01,1.600
2014-06-01,1.790
2014-07-01,1.756
2014-08-01,1.710
2014-09-01,1.658
2014-10-01,1.753
2014-11-01,1.936
2014-12-01,1.826
2015-01-01,2.047
2015-02-01,2.195
2015-03-01,2.007
2015-04-01,1.868
2015-05-01,1.904
2015-06-01,1.977
2015-07-01,1.848
2015-08-01,1.790
2015-09-01,1.926
2015-10-01,1.953
2015-11-01,2.116
2015-12-01,2.205
2016-01-01,2.060
2016-02-01,2.030
2016-03-01,1.894
2016-04-01,1.887
2016-05-01,1.992
2016-06-01,2.029
2016-07-01,1.953
2016-08-01,1.862
2016-09-01,1.810
2016-10-01,1.794
2016-11-01,1.901
2016-12-01,1.873
2017-01-01,1.802
2017-02-01,1.944
2017-03-01,2.038
2017-04-01,2.439
2017-05-01,2.325
2017-06-01,2.179
2017-07-01,2.027
2017-08-01,2.088
2017-09-01,2.036
2017-10-01,2.125
2017-11-01,2.148
2017-12-01,2.159
2018-01-01,2.127
2018-02-01,2.072
2018-03-01,2.064
2018-04-01,Price_($)
2018-05-01,2.039
2018-06-01,1.937
2018-07-01,2.056
2018-08-01,2.043
2018-09-01,2.058
2018-10-01,2.132
2018-11-01,2.170
2018-12-01,2.352
2019-01-01,2.177
2019-02-01,2.300
2019-03-01,2.356
2019-04-01,2.300
2019-05-01,2.190
2019-06-01,2.115
2019-07-01,2.207
2019-08-01,2.162
2019-09-01,2.059
2019-10-01,2.203
2019-11-01,2.214
2019-12-01,2.176
2020-01-01,2.160
2020-02-01,2.029
