DATE,Price_($)
1980-01-01,0.703
1980-02-01,0.586
1980-03-01,0.642
1980-04-01,0.634
1980-05-01,0.737
1980-06-01,0.745
1980-07-01,0.683
1980-08-01,0.646
1980-09-01,0.679
1980-10-01,0.764
1980-11-01,0.603
1980-12-01,0.662
1981-01-01,0.792
1981-02-01,1.016
1981-03-01,1.166
1981-04-01,1.201
1981-05-01,0.607
1981-06-01,0.639
1981-07-01,0.614
1981-08-01,0.659
1981-09-01,0.604
1981-10-01,0.652
1981-11-01,0.646
1981-12-01,0.642
1982-01-01,0.763
1982-02-01,0.901
1982-03-01,0.778
1982-04-01,0.664
1982-05-01,0.694
1982-06-01,0.869
1982-07-01,0.837
1982-08-01,0.584
1982-09-01,0.548
1982-10-01,0.633
1982-11-01,0.744
1982-12-01,0.849
1983-01-01,0.726
1983-02-01,0.814
1983-03-01,1.081
1983-04-01,1.011
1983-05-01,0.950
1983-06-01,0.797
1983-07-01,0.732
1983-08-01,0.584
1983-09-01,0.621
1983-10-01,0.709
1983-11-01,0.726
1983-12-01,0.663
1984-01-01,0.854
1984-02-01,0.998
1984-03-01,0.973
1984-04-01,0.839
1984-05-01,0.766
1984-06-01,0.778
1984-07-01,0.692
1984-08-01,0.901
1984-09-01,0.741
1984-10-01,0.744
1984-11-01,0.724
1984-12-01,0.678
1985-01-01,0.697
1985-02-01,0.840
1985-03-01,0.945
1985-04-01,1.194
1985-05-01,0.681
1985-06-01,0.624
1985-07-01,0.665
1985-08-01,0.642
1985-09-01,0.616
1985-10-01,0.673
1985-11-01,0.808
1985-12-01,0.953
1986-01-01,1.104
1986-02-01,0.752
1986-03-01,0.773
1986-04-01,0.805
1986-05-01,0.879
1986-06-01,0.802
1986-07-01,0.737
1986-08-01,0.686
1986-09-01,0.674
1986-10-01,0.811
1986-11-01,0.919
1986-12-01,0.943
1987-01-01,#N/A
1987-02-01,#N/A
1987-03-01,0.760
1987-04-01,0.820
1987-05-01,0.788
1987-06-01,0.883
1987-07-01,0.816
1987-08-01,0.664
1987-09-01,0.735
1987-10-01,0.777
1987-11-01,0.992
1987-12-01,0.996
1988-01-01,0.871
1988-02-01,0.856
1988-03-01,0.744
1988-04-01,0.902
1988-05-01,0.859
1988-06-01,0.765
1988-07-01,0.798
1988-08-01,0.819
1988-09-01,0.874
1988-10-01,0.853
1988-11-01,0.856
1988-12-01,0.812
1989-01-01,0.797
1989-02-01,1.051
1989-03-01,0.891
1989-04-01,0.970
1989-05-01,1.323
1989-06-01,0.873
1989-07-01,0.847
1989-08-01,0.797
1989-09-01,0.777
1989-10-01,0.836
1989-11-01,0.884
1989-12-01,0.898
1990-01-01,1.735
1990-02-01,2.361
1990-03-01,1.765
1990-04-01,0.732
1990-05-01,0.697
1990-06-01,0.792
1990-07-01,0.777
1990-08-01,0.765
1990-09-01,0.773
1990-10-01,0.846
1990-11-01,0.862
1990-12-01,0.858
1991-01-01,0.912
1991-02-01,0.840
1991-03-01,0.948
1991-04-01,1.210
1991-05-01,1.457
1991-06-01,1.672
1991-07-01,1.166
1991-08-01,0.795
1991-09-01,0.759
1991-10-01,0.714
1991-11-01,0.813
1991-12-01,0.793
1992-01-01,0.936
1992-02-01,1.430
1992-03-01,1.729
1992-04-01,1.623
1992-05-01,0.828
1992-06-01,0.747
1992-07-01,0.801
1992-08-01,0.802
1992-09-01,0.765
1992-10-01,1.001
1992-11-01,1.242
1992-12-01,1.227
1993-01-01,1.141
1993-02-01,1.098
1993-03-01,0.880
1993-04-01,1.016
1993-05-01,1.553
1993-06-01,1.278
1993-07-01,0.824
1993-08-01,0.856
1993-09-01,1.092
1993-10-01,0.944
1993-11-01,1.010
1993-12-01,1.313
1994-01-01,1.604
1994-02-01,1.112
1994-03-01,0.914
1994-04-01,0.951
1994-05-01,0.949
1994-06-01,1.047
1994-07-01,0.990
1994-08-01,0.969
1994-09-01,0.958
1994-10-01,0.979
1994-11-01,1.129
1994-12-01,1.428
1995-01-01,1.323
1995-02-01,1.300
1995-03-01,1.081
1995-04-01,1.299
1995-05-01,0.985
1995-06-01,1.102
1995-07-01,1.252
1995-08-01,0.938
1995-09-01,0.950
1995-10-01,1.041
1995-11-01,1.097
1995-12-01,1.507
1996-01-01,1.103
1996-02-01,1.084
1996-03-01,1.467
1996-04-01,1.867
1996-05-01,1.379
1996-06-01,1.127
1996-07-01,1.031
1996-08-01,1.006
1996-09-01,0.980
1996-10-01,1.084
1996-11-01,1.182
1996-12-01,1.210
1997-01-01,1.213
1997-02-01,1.314
1997-03-01,1.654
1997-04-01,1.348
1997-05-01,1.175
1997-06-01,1.300
1997-07-01,1.141
1997-08-01,1.130
1997-09-01,1.091
1997-10-01,1.162
1997-11-01,1.370
1997-12-01,1.617
1998-01-01,1.452
1998-02-01,1.356
1998-03-01,1.515
1998-04-01,1.398
1998-05-01,1.472
1998-06-01,1.393
1998-07-01,1.515
1998-08-01,1.312
1998-09-01,1.241
1998-10-01,1.573
1998-11-01,1.689
1998-12-01,1.798
1999-01-01,1.904
1999-02-01,1.476
1999-03-01,1.395
1999-04-01,1.298
1999-05-01,1.284
1999-06-01,1.304
1999-07-01,1.287
1999-08-01,1.232
1999-09-01,1.272
1999-10-01,1.279
1999-11-01,1.300
1999-12-01,1.405
2000-01-01,1.443
2000-02-01,1.286
2000-03-01,1.364
2000-04-01,1.487
2000-05-01,1.366
2000-06-01,1.318
2000-07-01,1.282
2000-08-01,1.262
2000-09-01,1.319
2000-10-01,1.387
2000-11-01,1.503
2000-12-01,1.567
2001-01-01,1.414
2001-02-01,1.313
2001-03-01,1.336
2001-04-01,1.433
2001-05-01,1.243
2001-06-01,1.356
2001-07-01,1.257
2001-08-01,1.185
2001-09-01,1.168
2001-10-01,1.267
2001-11-01,1.468
2001-12-01,1.404
2002-01-01,1.451
2002-02-01,1.298
2002-03-01,1.292
2002-04-01,1.319
2002-05-01,1.332
2002-06-01,1.299
2002-07-01,1.243
2002-08-01,1.181
2002-09-01,1.158
2002-10-01,1.236
2002-11-01,1.430
2002-12-01,1.655
2003-01-01,1.711
2003-02-01,1.565
2003-03-01,1.619
2003-04-01,1.555
2003-05-01,1.401
2003-06-01,1.398
2003-07-01,1.460
2003-08-01,1.513
2003-09-01,1.438
2003-10-01,1.436
2003-11-01,1.480
2003-12-01,1.533
2004-01-01,1.472
2004-02-01,1.510
2004-03-01,1.529
2004-04-01,1.519
2004-05-01,1.510
2004-06-01,1.331
2004-07-01,1.253
2004-08-01,1.312
2004-09-01,1.321
2004-10-01,1.715
2004-11-01,2.337
2004-12-01,2.467
2005-01-01,1.660
2005-02-01,1.428
2005-03-01,1.548
2005-04-01,1.710
2005-05-01,1.911
2005-06-01,1.655
2005-07-01,1.607
2005-08-01,1.416
2005-09-01,1.429
2005-10-01,1.547
2005-11-01,1.574
2005-12-01,1.848
2006-01-01,2.162
2006-02-01,1.910
2006-03-01,1.649
2006-04-01,1.573
2006-05-01,1.543
2006-06-01,1.457
2006-07-01,1.479
2006-08-01,1.488
2006-09-01,1.908
2006-10-01,2.188
2006-11-01,1.784
2006-12-01,1.639
2007-01-01,1.621
2007-02-01,1.644
2007-03-01,1.555
2007-04-01,1.630
2007-05-01,1.685
2007-06-01,1.510
2007-07-01,1.486
2007-08-01,1.485
2007-09-01,1.496
2007-10-01,1.649
2007-11-01,1.851
2007-12-01,2.147
2008-01-01,2.032
2008-02-01,1.735
2008-03-01,1.835
2008-04-01,1.773
2008-05-01,1.675
2008-06-01,1.814
2008-07-01,1.713
2008-08-01,1.694
2008-09-01,1.591
2008-10-01,1.611
2008-11-01,1.722
2008-12-01,1.734
2009-01-01,1.661
2009-02-01,1.556
2009-03-01,1.511
2009-04-01,1.591
2009-05-01,1.584
2009-06-01,1.604
2009-07-01,1.618
2009-08-01,1.528
2009-09-01,1.538
2009-10-01,1.595
2009-11-01,1.726
2009-12-01,1.961
2010-01-01,1.837
2010-02-01,1.765
2010-03-01,2.007
2010-04-01,2.132
2010-05-01,1.918
2010-06-01,1.586
2010-07-01,1.544
2010-08-01,1.405
2010-09-01,1.503
2010-10-01,1.502
2010-11-01,1.519
2010-12-01,1.591
2011-01-01,1.590
2011-02-01,1.832
2011-03-01,2.086
2011-04-01,2.270
2011-05-01,1.794
2011-06-01,1.559
2011-07-01,1.442
2011-08-01,1.420
2011-09-01,1.503
2011-10-01,1.465
2011-11-01,1.516
2011-12-01,1.531
2012-01-01,1.542
2012-02-01,1.433
2012-03-01,1.452
2012-04-01,1.388
2012-05-01,1.336
2012-06-01,1.492
2012-07-01,1.506
2012-08-01,1.440
2012-09-01,1.384
2012-10-01,1.443
2012-11-01,1.469
2012-12-01,1.594
2013-01-01,1.545
2013-02-01,1.497
2013-03-01,1.493
2013-04-01,1.460
2013-05-01,1.454
2013-06-01,1.470
2013-07-01,1.430
2013-08-01,1.509
2013-09-01,1.566
2013-10-01,#N/A
2013-11-01,1.700
2013-12-01,1.727
2014-01-01,1.702
2014-02-01,1.672
2014-03-01,1.632
2014-04-01,1.622
2014-05-01,1.629
2014-06-01,1.675
2014-07-01,1.633
2014-08-01,1.544
2014-09-01,1.546
2014-10-01,1.695
2014-11-01,1.948
2014-12-01,2.189
2015-01-01,2.089
2015-02-01,1.849
2015-03-01,1.819
2015-04-01,1.847
2015-05-01,1.740
2015-06-01,1.708
2015-07-01,1.777
2015-08-01,1.737
2015-09-01,1.775
2015-10-01,1.844
2015-11-01,1.977
2015-12-01,1.932
2016-01-01,2.528
2016-02-01,2.316
2016-03-01,1.941
2016-04-01,1.862
2016-05-01,1.695
2016-06-01,1.709
2016-07-01,1.635
2016-08-01,1.685
2016-09-01,1.786
2016-10-01,1.994
2016-11-01,1.984
2016-12-01,1.972
2017-01-01,2.048
2017-02-01,1.930
2017-03-01,1.943
2017-04-01,1.902
2017-05-01,1.867
2017-06-01,1.873
2017-07-01,1.952
2017-08-01,1.846
2017-09-01,1.828
2017-10-01,1.813
2017-11-01,1.933
2017-12-01,2.237
2018-01-01,2.336
2018-02-01,2.026
2018-03-01,1.868
2018-04-01,1.802
2018-05-01,1.675
2018-06-01,1.706
2018-07-01,1.887
2018-08-01,1.737
2018-09-01,1.826
2018-10-01,1.901
2018-11-01,2.057
2018-12-01,2.175
2019-01-01,2.227
2019-02-01,2.068
2019-03-01,2.079
2019-04-01,1.947
2019-05-01,1.823
2019-06-01,1.812
2019-07-01,1.799
2019-08-01,1.864
2019-09-01,1.911
2019-10-01,1.779
2019-11-01,1.903
2019-12-01,1.954
2020-01-01,2.221
2020-02-01,2.197
2020-03-01,#N/A
2020-04-01,#N/A
2020-05-01,1.851
2020-06-01,1.922
2020-07-01,1.977
2020-08-01,1.874
2020-09-01,1.847
2020-10-01,1.911
2020-11-01,1.935
2020-12-01,1.893
2021-01-01,1.928
2021-02-01,1.838
2021-03-01,1.768
2021-04-01,1.786
2021-05-01,1.804
2021-06-01,1.830
2021-07-01,1.827
