City / Town,State,"Number of fast food restauranst per 100,000 people"
Charleston metro area,South Carolina,217.60
Ocean City,New Jersey,190.10
Kalamazoo metro area,Michigan,103.00
Barnstable Town,Massachusetts,101.60
Morgantown,West Virginia,101.00
Honolulu,Hawaii,100.00
Warner Robins,Georgia,99.90
Dothan,Alabama,98.70
Great Falls,Montana,98.00
Bloomington,Illinois,97.20
Macon,Georgia,96.90
Baltimore metro area,Maryland,96.70
Shreveport-Bossier City metro area,Louisiana,96.50
Flagstaff,Arizona,96.50
Birmingham metro area,Alabama,96.10
Savannah,Georgia,96.00
Myrtle Beach metro area,the Carolinas,95.40
Sioux City metro area,Iowa/Nebraska/South Dakota,95.00
Kokomo,Indiana,94.90
San Luis Obispo metro area,California,94.90
New York-Newark metro area,New York-New Jersey,94.00
Parkersburg-Vienna metro area,West Virginia,93.60
Carson City,Nevada,93.50
Akron,Ohio,93.30
Tyler,Texas,93.30
Wilmington,North Carolina,93.30
Springfield,Illinois,93.10
Boulder,Colorado,93.00
Lubbock,Texas,92.10
Las Vegas-Henderson-Paradise metro area,Nevada,92.00
Burlington-South Burlington metro area,Vermont,91.90
Jackson,Mississippi,91.80
Lincoln,Nebraska,91.50
Abilene,Texas,91.50
Panama City,Florida,91.50
Lawrence,Kansas,91.50
Greenville,North Carolina,91.30
Corpus Christi,Texas,91.30
Columbus,Georgia,91.20
Kingsport-Bristol metro area,Tennessee/Virginia,91.00
Lexington-Fayette metro area,Kentucky,90.90
Wichita,Kansas,90.80
Huntington metro area,West Virginia/Kentucky/Ohio,90.30
Lima,Ohio,90.20
Brunswick,Georgia,90.10
Los Angeles-Long Beach-Anaheim metro area,California,90.10
Virginia Beach-Norfolk metro area,Virginia,90.00
Auburn-Opelika metro area,Alabama,89.80
Jacksonville,Alabama,89.80
Hot Springs,Arkansas,89.50
