County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index
Aleutians West Census Area, AK,7.4,14.6,29.2,4.8,0.769346
Queens County, NY,20.9,28.0,26.7,2.7,0.742224
Maui County, HI,0.8,10.7,31.5,23.3,0.740757
Alameda County, CA,12.4,22.7,33.2,5.2,0.740399
Aleutians East Borough, AK,7.7,13.5,12.9,3.7,0.738867
Hawaii County, HI,0.8,12.2,30.7,29.5,0.738772
Fort Bend County, TX,21.2,24.0,35.6,2.0,0.736427
HAWAII,,2.3,9.8,23.0,23.1,0.731461
Kauai County, HI,0.7,10.5,30.3,24.6,0.730326
Solano County, CA,14.9,25.2,40.0,6.7,0.725821
Honolulu County, HI,3.0,9.2,19.7,21.7,0.71441
Robeson County, NC,24.7,8.0,26.8,2.5,0.704067
Gwinnett County, GA,26.3,20.4,41.6,2.4,0.702974
Yakutat City and Borough, AK,0.9,3.1,37.1,15.9,0.698748
Santa Clara County, CA,2.9,26.8,33.9,4.0,0.694312
Kings County, NY,35.4,19.6,36.0,2.3,0.692349
San Mateo County, CA,3.0,25.4,41.1,4.4,0.691029
Manassas Park city, VA,15.0,34.7,39.4,3.7,0.690899
Dallas County, TX,23.1,39.0,31.7,1.7,0.69039
Montgomery County, MD,18.6,18.3,47.0,3.1,0.687803
Sacramento County, CA,10.8,22.3,47.3,5.9,0.687281
Contra Costa County, CA,9.6,24.9,46.3,5.0,0.686497
Hoke County, NC,34.1,12.2,41.4,4.1,0.686301
San Joaquin County, CA,8.1,40.1,34.6,5.1,0.685223
Cook County, IL,24.6,24.7,43.4,1.8,0.684969
Harris County, TX,19.5,41.6,31.9,1.7,0.682123
Prince William County, VA,21.4,21.5,46.7,4.2,0.681277
Hudson County, NJ,15.1,42.9,29.8,2.5,0.681081
San Francisco County, CA,6.0,15.3,41.6,4.1,0.679829
Middlesex County, NJ,11.0,19.5,46.4,2.0,0.678917
Wyandotte County, KS,25.1,27.1,42.7,3.1,0.678912
Broward County, FL,28.5,26.9,40.8,2.0,0.678237
CALIFORNIA,,6.6,38.4,39.0,3.7,0.674524
Clark County, NV,11.5,30.0,46.1,4.2,0.673066
Orange County, FL,22.0,28.7,44.1,2.4,0.671218
Union County, NJ,23.4,29.3,43.2,1.9,0.669656
Kalawao County, HI,0.0,1.1,26.7,15.6,0.667849
Essex County, NJ,41.9,21.7,32.7,2.2,0.667286
Kodiak Island Borough, AK,1.3,8.4,51.4,6.8,0.665746
Orange County, CA,2.1,34.2,42.6,3.2,0.663094
Manassas city, VA,15.6,32.9,44.7,3.6,0.662891
Los Angeles County, CA,9.2,48.3,27.2,2.9,0.661865
Jefferson County, TX,34.4,18.5,42.9,1.5,0.661628
Suffolk County, MA,24.5,21.3,47.5,2.9,0.660503
New York County, NY,18.4,25.8,47.5,3.1,0.658205
Waller County, TX,25.8,29.5,43.6,1.4,0.655844
Bell County, TX,22.4,23.2,48.9,4.3,0.653821
Durham County, NC,38.7,13.5,42.1,2.3,0.651831
San Diego County, CA,5.6,32.9,47.2,4.2,0.650181
Philadelphia County, PA,44.2,13.3,36.3,2.4,0.649776
Fairfax County, VA,9.9,16.2,52.7,3.4,0.649676
Bristol Bay Borough, AK,0.0,3.9,45.3,17.5,0.648271
Sutter County, CA,2.4,29.6,48.6,4.2,0.647059
San Juan County, NM,0.8,19.3,40.7,2.6,0.645004
Tarrant County, TX,15.9,27.6,50.1,2.2,0.644473
Mercer County, NJ,21.1,16.2,52.6,2.1,0.642078
Yolo County, CA,3.0,31.3,48.8,4.9,0.642001
TEXAS,,12.4,38.4,44.0,1.8,0.641294
Alexandria city, VA,22.4,16.9,52.4,3.0,0.641095
Cibola County, NM,1.4,37.4,21.1,2.1,0.64104
Brazoria County, TX,13.3,28.9,50.7,1.8,0.637752
Cumberland County, NC,37.4,10.7,45.8,4.3,0.636081
NEVADA,,9.0,27.5,52.2,3.9,0.635404
Mecklenburg County, NC,32.1,12.6,49.3,2.2,0.634781
Liberty County, GA,40.9,11.6,42.7,4.3,0.63442
Sandoval County, NM,2.6,36.9,45.8,2.7,0.634152
Cumberland County, NJ,21.8,28.6,48.6,2.7,0.633302
Scotland County, NC,39.1,2.7,44.8,2.2,0.632352
Passaic County, NJ,14.7,38.9,43.7,2.4,0.63216
Potter County, TX,10.8,36.7,47.1,2.0,0.62912
Fulton County, GA,44.4,7.7,40.7,2.0,0.626907
Hillsborough County, FL,17.4,26.0,52.3,2.5,0.626423
Riverside County, CA,7.0,46.9,38.0,3.3,0.624784
San Bernardino County, CA,9.5,51.1,31.4,3.4,0.624636
Travis County, TX,8.9,33.8,50.0,2.4,0.623218
Cherokee County, OK,1.5,6.5,49.6,9.3,0.621119
Milwaukee County, WI,27.1,14.0,53.4,2.6,0.619602
Falls County, TX,25.2,22.2,51.7,1.6,0.61956
Fresno County, CA,5.9,51.6,31.4,2.9,0.618892
Sampson County, NC,27.1,18.0,52.5,1.7,0.617255
Jasper County, SC,45.5,14.1,39.6,1.2,0.61602
Greene County, NC,36.5,14.8,47.8,1.1,0.615762
