County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index
Aleutians West Census Area,AK,7.4,14.6,29.2,4.8,0.769346
Aleutians East Borough,AK,7.7,13.5,12.9,3.7,0.738867
Fort Bend County,TX,21.2,24.0,35.6,2.0,0.736427
Robeson County,NC,24.7,8.0,26.8,2.5,0.704067
Gwinnett County,GA,26.3,20.4,41.6,2.4,0.702974
Yakutat City and Borough,AK,0.9,3.1,37.1,15.9,0.698748
Manassas Park city,VA,15.0,34.7,39.4,3.7,0.690899
Dallas County,TX,23.1,39.0,31.7,1.7,0.69039
Montgomery County,MD,18.6,18.3,47.0,3.1,0.687803
Hoke County,NC,34.1,12.2,41.4,4.1,0.686301
Harris County,TX,19.5,41.6,31.9,1.7,0.682123
Prince William County,VA,21.4,21.5,46.7,4.2,0.681277
Broward County,FL,28.5,26.9,40.8,2.0,0.678237
Orange County,FL,22.0,28.7,44.1,2.4,0.671218
Kodiak Island Borough,AK,1.3,8.4,51.4,6.8,0.665746
Manassas city,VA,15.6,32.9,44.7,3.6,0.662891
Jefferson County,TX,34.4,18.5,42.9,1.5,0.661628
Waller County,TX,25.8,29.5,43.6,1.4,0.655844
Bell County,TX,22.4,23.2,48.9,4.3,0.653821
Durham County,NC,38.7,13.5,42.1,2.3,0.651831
Fairfax County,VA,9.9,16.2,52.7,3.4,0.649676
Bristol Bay Borough,AK,0.0,3.9,45.3,17.5,0.648271
Tarrant County,TX,15.9,27.6,50.1,2.2,0.644473
Alexandria city,VA,22.4,16.9,52.4,3.0,0.641095
Brazoria County,TX,13.3,28.9,50.7,1.8,0.637752
Cumberland County,NC,37.4,10.7,45.8,4.3,0.636081
Mecklenburg County,NC,32.1,12.6,49.3,2.2,0.634781
Liberty County,GA,40.9,11.6,42.7,4.3,0.63442
Scotland County,NC,39.1,2.7,44.8,2.2,0.632352
Potter County,TX,10.8,36.7,47.1,2.0,0.62912
Fulton County,GA,44.4,7.7,40.7,2.0,0.626907
Hillsborough County,FL,17.4,26.0,52.3,2.5,0.626423
Travis County,TX,8.9,33.8,50.0,2.4,0.623218
Cherokee County,OK,1.5,6.5,49.6,9.3,0.621119
Falls County,TX,25.2,22.2,51.7,1.6,0.61956
Sampson County,NC,27.1,18.0,52.5,1.7,0.617255
Jasper County,SC,45.5,14.1,39.6,1.2,0.61602
Greene County,NC,36.5,14.8,47.8,1.1,0.615762
Newport News city,VA,41.2,8.2,45.4,3.9,0.614894
District of Columbia,DC,49.5,10.1,35.8,2.6,0.614376
Howard County,MD,18.4,6.3,56.6,3.5,0.614333
Adair County,OK,0.5,5.8,42.2,10.3,0.614293
Duplin County,NC,25.9,21.2,52.3,1.3,0.614029
Wharton County,TX,14.4,39.0,46.2,0.9,0.613554
Muskogee County,OK,11.1,5.6,57.5,8.2,0.612919
North Slope Borough,AK,1.1,3.4,32.3,5.5,0.612887
Matagorda County,TX,11.4,40.0,46.2,1.3,0.612762
Norfolk city,VA,42.8,7.3,44.3,3.4,0.61266
Comanche County,OK,17.6,12.5,57.7,6.2,0.612108
Cobb County,GA,26.7,12.6,54.8,2.3,0.609575
Hendry County,FL,13.4,50.3,34.5,1.1,0.60928
Jefferson Parish,LA,27.0,13.4,54.7,1.6,0.607961
Hoonah-Angoon Census Area,AK,0.6,4.5,47.8,10.3,0.606696
Osceola County,FL,13.1,48.6,37.3,2.5,0.605921
Oklahoma County,OK,15.8,16.0,58.2,5.1,0.605322
Stewart County,GA,50.8,25.1,27.7,1.5,0.601801
Anchorage Municipality,AK,6.3,8.6,60.5,7.8,0.601515
Rockdale County,GA,49.5,10.1,37.8,2.0,0.601064
Mitchell County,TX,12.8,38.7,48.2,1.6,0.601006
Charles County,MD,43.1,5.0,45.7,3.6,0.600455
Charles City County,VA,47.3,1.7,41.2,2.7,0.600308
Prince of Wales-Hyder Census Area,AK,0.4,3.1,48.0,8.8,0.600004
Telfair County,GA,36.2,14.1,50.1,1.0,0.5979
DeKalb County,GA,54.8,9.1,30.0,2.0,0.597853
Guilford County,NC,33.8,7.5,52.9,2.1,0.597774
Muscogee County,GA,46.0,7.3,42.9,2.7,0.597696
Douglas County,GA,42.5,8.9,46.2,2.3,0.597172
Titus County,TX,10.3,40.9,47.5,1.2,0.59568
Wilson County,NC,39.6,10.0,48.8,1.4,0.594718
Henrico County,VA,30.0,5.3,55.6,2.2,0.591778
Madison County,TX,20.3,21.8,56.5,1.6,0.5916
Clarke County,GA,27.3,10.7,56.6,1.9,0.591439
Duval County,FL,30.0,8.3,55.6,2.6,0.591257
Brazos County,TX,11.3,24.5,57.7,1.8,0.590878
Leake County,MS,41.7,4.3,47.9,0.9,0.590242
Henry County,GA,39.6,6.3,49.8,2.1,0.589671
