County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index,"Percent of Blacks, Latino & Two Races"
Starr County,TX,0.4,95.7,3.9,0.2,0.082592,96.30000000000001
Webb County,TX,0.7,95.3,3.7,0.3,0.090279,96.3
Maverick County,TX,0.6,95.1,3.2,0.4,0.094273,96.1
Zavala County,TX,1.2,92.9,6.4,0.7,0.132587,94.80000000000001
Zapata County,TX,0.5,93.5,5.8,0.2,0.122362,94.2
Jim Hogg County,TX,0.6,92.1,6.3,0.7,0.147644,93.39999999999999
Hidalgo County,TX,0.8,91.0,7.3,0.4,0.166345,92.2
Brooks County,TX,1.0,89.9,8.4,0.5,0.184482,91.4
Willacy County,TX,2.6,87.4,9.6,0.5,0.226106,90.5
Duval County,TX,1.4,88.5,10.0,0.4,0.206504,90.30000000000001
Cameron County,TX,0.8,88.5,10.1,0.5,0.206384,89.8
Dimmit County,TX,1.7,85.4,12.6,0.7,0.25437,87.80000000000001
Claiborne County,MS,84.7,1.1,13.6,0.8,0.263893,86.6
El Paso County,TX,4.0,81.1,13.5,1.3,0.322012,86.39999999999999
La Salle County,TX,1.0,84.8,13.8,0.6,0.261648,86.39999999999999
Jefferson County,MS,85.3,0.4,13.8,0.5,0.253304,86.2
Miami-Dade County,FL,19.0,65.6,15.2,1.2,0.510018,85.8
Holmes County,MS,82.9,0.9,15.8,0.6,0.287661,84.4
Presidio County,TX,1.4,82.0,14.9,0.9,0.304701,84.30000000000001
Petersburg city,VA,77.8,4.3,15.9,2.2,0.366982,84.3
Macon County,AL,81.5,1.5,16.1,1.3,0.309447,84.3
Prince George's County,MD,65.1,16.2,14.5,2.6,0.526125,83.89999999999999
Clayton County,GA,67.8,13.2,14.0,2.1,0.50011,83.1
Val Verde County,TX,1.8,80.2,17.2,1.0,0.326671,83.0
Frio County,TX,3.9,78.0,16.1,0.8,0.363501,82.7
Greene County,AL,80.2,1.0,18.2,0.6,0.323523,81.8
Jim Wells County,TX,0.9,79.3,19.2,0.7,0.33402,80.9
Reeves County,TX,5.4,74.5,19.2,0.8,0.404966,80.7
Hudspeth County,TX,1.6,77.9,19.7,1.1,0.353713,80.6
Kenedy County,TX,4.1,75.2,20.4,0.2,0.390945,79.5
Bullock County,AL,69.9,7.8,22.2,1.0,0.455794,78.7
Tunica County,MS,75.1,2.4,21.1,0.9,0.390752,78.4
Humphreys County,MS,74.7,2.4,22.3,0.9,0.391594,78.00000000000001
Stewart County,GA,50.8,25.1,27.7,1.5,0.601801,77.4
Kleberg County,TX,4.4,71.4,21.9,1.4,0.43945,77.20000000000002
Coahoma County,MS,75.1,1.4,22.6,0.7,0.384641,77.2
Culberson County,TX,1.1,73.4,22.5,2.5,0.409028,77.0
Allendale County,SC,72.9,2.8,23.5,0.8,0.412457,76.5
Leflore County,MS,72.6,2.5,24.1,0.7,0.414104,75.8
Hancock County,GA,72.6,1.8,24.3,0.8,0.413422,75.19999999999999
Sumter County,AL,73.5,1.0,24.9,0.5,0.397632,75.0
Lowndes County,AL,73.1,1.1,25.2,0.8,0.401937,74.99999999999999
Sunflower County,MS,72.8,1.5,25.2,0.6,0.406226,74.89999999999999
Noxubee County,MS,71.7,1.0,26.4,0.8,0.416043,73.5
Washington County,MS,71.3,1.3,26.4,0.6,0.421677,73.19999999999999
Deaf Smith County,TX,1.9,69.9,27.7,1.0,0.433894,72.80000000000001
Hinds County,MS,70.3,1.6,26.7,0.9,0.434097,72.8
Sharkey County,MS,70.6,1.4,27.4,0.7,0.426233,72.7
Wilcox County,AL,71.2,0.9,27.5,0.6,0.417309,72.7
Pecos County,TX,4.3,67.5,27.0,0.9,0.469302,72.7
Uvalde County,TX,1.2,69.9,28.2,0.9,0.431513,72.00000000000001
Dougherty County,GA,68.0,2.5,27.8,1.2,0.459434,71.7
Quitman County,MS,69.5,0.9,28.3,1.2,0.436648,71.60000000000001
Wilkinson County,MS,70.0,0.7,28.8,0.5,0.426977,71.2
Dallas County,AL,69.6,0.9,28.5,0.7,0.4342,71.2
East Carroll Parish,LA,68.0,2.0,28.9,1.0,0.453534,71.0
Reagan County,TX,3.4,65.3,31.3,2.1,0.473889,70.8
Emporia city,VA,63.6,5.4,29.8,1.1,0.503525,70.1
Baltimore city,MD,63.3,4.6,28.3,2.0,0.516013,69.89999999999999
Perry County,AL,67.6,1.3,30.3,0.6,0.45099,69.49999999999999
Bexar County,TX,8.2,59.1,29.5,2.1,0.555597,69.39999999999999
Williamsburg County,SC,65.5,2.2,31.2,0.8,0.473051,68.5
Nueces County,TX,4.4,62.0,31.4,1.4,0.514446,67.80000000000001
Bolivar County,MS,64.7,2.1,32.3,0.7,0.476531,67.5
Orleans Parish,LA,60.1,5.5,31.0,1.5,0.538532,67.1
Bee County,TX,8.5,57.4,33.1,1.1,0.553516,67.0
Crockett County,TX,1.7,64.2,33.9,0.9,0.472156,66.80000000000001
Gadsden County,FL,55.4,10.3,33.2,1.1,0.572044,66.8
Calhoun County,GA,61.4,4.4,33.3,1.0,0.51002,66.8
Lee County,SC,63.2,2.1,33.6,0.9,0.487133,66.2
DeKalb County,GA,54.8,9.1,30.0,2.0,0.597853,65.9
Castro County,TX,2.6,62.3,34.6,0.9,0.491073,65.8
Orangeburg County,SC,62.3,2.1,33.6,1.3,0.498248,65.69999999999999
Issaquena County,MS,64.2,0.9,34.1,0.1,0.471441,65.2
Hale County,TX,5.9,58.0,35.5,1.2,0.533668,65.1
Yoakum County,TX,1.5,62.4,35.2,1.2,0.486037,65.1
