County,State,Latitude (generated),Longitude (generated)
Zavala County,TX,28.8648,-99.7623
Zapata County,TX,26.9454,-99.1717
Yoakum County,TX,33.1614,-102.828
Yazoo County,MS,32.7632,-90.36
Winkler County,TX,31.8614,-103.0627
Wilson County,NC,35.7201,-77.9431
Williamsburg County,SC,33.598,-79.7441
Willacy County,TX,26.4556,-97.7389
Wilkinson County,MS,31.1872,-91.3242
Wilcox County,AL,32.0483,-87.4009
Wharton County,TX,29.299,-96.221
Webb County,TX,27.7332,-99.288
Washington County,NC,35.8405,-76.5773
Washington County,MS,33.2697,-90.8805
Washington County,GA,32.9975,-82.7988
Warren County,NC,36.3734,-78.1029
Warren County,MS,32.349,-90.7914
Warren County,GA,33.4325,-82.7019
Ward County,TX,31.4598,-103.1287
Waller County,TX,29.9884,-95.9999
Victoria County,TX,28.7954,-96.9415
Vance County,NC,36.3447,-78.3979
Val Verde County,TX,29.7645,-101.0491
Uvalde County,TX,29.3551,-99.7622
Upton County,TX,31.369,-102.0443
Tunica County,MS,34.6582,-90.3483
Titus County,TX,33.19,-94.9689
Texas County,OK,36.7482,-101.4928
Terry County,TX,33.1754,-102.3353
Terrell County,TX,30.2125,-102.1628
Terrell County,GA,31.7942,-84.4316
Tensas Parish,LA,31.9919,-91.2991
Telfair County,GA,31.9642,-82.9136
Tallahatchie County,MS,33.9322,-90.1881
Taliaferro County,GA,33.5857,-82.857
Talbot County,GA,32.7045,-84.519
Swisher County,TX,34.535,-101.7351
Sutton County,TX,30.4919,-100.5386
Sussex County,VA,36.9125,-77.2851
Sunflower County,MS,33.6292,-90.5554
Sumter County,SC,33.9067,-80.3414
Sumter County,GA,32.0502,-84.2061
Sumter County,AL,32.6525,-88.2171
Stewart County,GA,32.0762,-84.8492
Starr County,TX,26.5105,-98.7859
St. John the Baptist Parish,LA,30.091,-90.543
St. James Parish,LA,30.0233,-90.8217
St. Helena Parish,LA,30.8246,-90.7047
Shelby County,TN,35.2037,-89.8653
Sharkey County,MS,32.8801,-90.8212
Schleicher County,TX,30.9013,-100.539
San Patricio County,TX,27.9997,-97.5016
Rockdale County,GA,33.6557,-84.012
Richmond County,GA,33.3856,-82.0915
Richmond city,VA,37.5241,-77.4608
Richland County,SC,34.0064,-80.8509
Refugio County,TX,28.3093,-97.1471
Reeves County,TX,31.3853,-103.6537
Reagan County,TX,31.3693,-101.523
Randolph County,GA,31.7744,-84.7808
Quitman County,MS,34.2959,-90.2919
Prince George's County,MD,38.8356,-76.8411
Presidio County,TX,29.9461,-104.2391
Portsmouth city,VA,36.8219,-76.3446
Pike County,MS,31.175,-90.4044
