zip,Zipcode name,City,State,County Name
79311,"ABERNATHY, TX",ABERNATHY,TX,Hale County
75001,"ADDISON, TX",ADDISON,TX,Dallas County
78101,"ADKINS, TX",ADKINS,TX,Bexar County
78330,"AGUA DULCE, TX",AGUA DULCE,TX,Nueces County
79221,"AIKEN, TX",AIKEN,TX,Floyd County
78516,"ALAMO, TX",ALAMO,TX,Hidalgo County
77411,"ALIEF, TX",ALIEF,TX,Harris County
79312,"AMHERST, TX",AMHERST,TX,Lamb County
79714,"ANDREWS, TX",ANDREWS,TX,Andrews County
79313,"ANTON, TX",ANTON,TX,Hockley County
78338,"ARMSTRONG, TX",ARMSTRONG,TX,Kenedy County
78827,"ASHERTON, TX",ASHERTON,TX,Dimmit County
78002,"ATASCOSA, TX",ATASCOSA,TX,Bexar County
77950,"AUSTWELL, TX",AUSTWELL,TX,Refugio County
75180,"BALCH SPRINGS, TX",BALCH SPRINGS,TX,Dallas County
79718,"BALMORHEA, TX",BALMORHEA,TX,Reeves County
78339,"BANQUETE, TX",BANQUETE,TX,Nueces County
77413,"BARKER, TX",BARKER,TX,Harris County
78828,"BARKSDALE, TX",BARKSDALE,TX,Edwards County
79719,"BARSTOW, TX",BARSTOW,TX,Ward County
78829,"BATESVILLE, TX",BATESVILLE,TX,Zavala County
77404,"BAY CITY, TX",BAY CITY,TX,Matagorda County
77414,"BAY CITY, TX",BAY CITY,TX,Matagorda County
78340,"BAYSIDE, TX",BAYSIDE,TX,Refugio County
77520,"BAYTOWN, TX",BAYTOWN,TX,Harris County
77521,"BAYTOWN, TX",BAYTOWN,TX,Harris County
77522,"BAYTOWN, TX",BAYTOWN,TX,Harris County
77701,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77702,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77703,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77704,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77705,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77706,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77707,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77708,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77709,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77710,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77713,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77720,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77725,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
77726,"BEAUMONT, TX",BEAUMONT,TX,Jefferson County
78102,"BEEVILLE, TX",BEEVILLE,TX,Bee County
78104,"BEEVILLE, TX",BEEVILLE,TX,Bee County
77401,"BELLAIRE, TX",BELLAIRE,TX,Harris County
77402,"BELLAIRE, TX",BELLAIRE,TX,Harris County
78604,"BELMONT, TX",BELMONT,TX,Gonzales County
78341,"BENAVIDES, TX",BENAVIDES,TX,Duval County
76932,"BIG LAKE, TX",BIG LAKE,TX,Reagan County
78830,"BIG WELLS, TX",BIG WELLS,TX,Dimmit County
78005,"BIGFOOT, TX",BIGFOOT,TX,Frio County
78343,"BISHOP, TX",BISHOP,TX,Nueces County
79314,"BLEDSOE, TX",BLEDSOE,TX,Cochran County
77419,"BLESSING, TX",BLESSING,TX,Matagorda County
77951,"BLOOMINGTON, TX",BLOOMINGTON,TX,Victoria County
77420,"BOLING, TX",BOLING,TX,Wharton County
79009,"BOVINA, TX",BOVINA,TX,Parmer County
78832,"BRACKETTVILLE, TX",BRACKETTVILLE,TX,Kinney County
77423,"BROOKSHIRE, TX",BROOKSHIRE,TX,Waller County
