zip,Zipcode name,City,State,County Name
76621,"ABBOTT, TX",ABBOTT,TX,HILL
79311,"ABERNATHY, TX",ABERNATHY,TX,HALE
79601,"ABILENE, TX",ABILENE,TX,TAYLOR
79602,"ABILENE, TX",ABILENE,TX,TAYLOR
79603,"ABILENE, TX",ABILENE,TX,TAYLOR
79604,"ABILENE, TX",ABILENE,TX,TAYLOR
79605,"ABILENE, TX",ABILENE,TX,TAYLOR
79606,"ABILENE, TX",ABILENE,TX,TAYLOR
79608,"ABILENE, TX",ABILENE,TX,TAYLOR
79697,"ABILENE, TX",ABILENE,TX,TAYLOR
79698,"ABILENE, TX",ABILENE,TX,TAYLOR
79699,"ABILENE, TX",ABILENE,TX,TAYLOR
77326,"ACE, TX",ACE,TX,POLK
79713,"ACKERLY, TX",ACKERLY,TX,MARTIN
75001,"ADDISON, TX",ADDISON,TX,DALLAS
78101,"ADKINS, TX",ADKINS,TX,BEXAR
79001,"ADRIAN, TX",ADRIAN,TX,OLDHAM
79220,"AFTON, TX",AFTON,TX,DICKENS
78330,"AGUA DULCE, TX",AGUA DULCE,TX,NUECES
79221,"AIKEN, TX",AIKEN,TX,FLOYD
78516,"ALAMO, TX",ALAMO,TX,HIDALGO
79002,"ALANREED, TX",ALANREED,TX,GRAY
75410,"ALBA, TX",ALBA,TX,WOOD
76430,"ALBANY, TX",ALBANY,TX,SHACKELFORD
76008,"ALEDO, TX",ALEDO,TX,PARKER
78332,"ALICE, TX",ALICE,TX,JIM WELLS
78333,"ALICE, TX",ALICE,TX,JIM WELLS
77411,"ALIEF, TX",ALIEF,TX,HARRIS
75002,"ALLEN, TX",ALLEN,TX,COLLIN
75013,"ALLEN, TX",ALLEN,TX,COLLIN
78935,"ALLEYTON, TX",ALLEYTON,TX,COLORADO
79003,"ALLISON, TX",ALLISON,TX,WHEELER
79830,"ALPINE, TX",ALPINE,TX,BREWSTER
79831,"ALPINE, TX",ALPINE,TX,BREWSTER
79832,"ALPINE, TX",ALPINE,TX,BREWSTER
77412,"ALTAIR, TX",ALTAIR,TX,COLORADO
75925,"ALTO, TX",ALTO,TX,CHEROKEE
76009,"ALVARADO, TX",ALVARADO,TX,JOHNSON
77511,"ALVIN, TX",ALVIN,TX,BRAZORIA
77512,"ALVIN, TX",ALVIN,TX,BRAZORIA
76225,"ALVORD, TX",ALVORD,TX,WISE
79101,"AMARILLO, TX",AMARILLO,TX,POTTER
79102,"AMARILLO, TX",AMARILLO,TX,POTTER
79103,"AMARILLO, TX",AMARILLO,TX,POTTER
79104,"AMARILLO, TX",AMARILLO,TX,POTTER
79105,"AMARILLO, TX",AMARILLO,TX,POTTER
79106,"AMARILLO, TX",AMARILLO,TX,POTTER
79107,"AMARILLO, TX",AMARILLO,TX,POTTER
79108,"AMARILLO, TX",AMARILLO,TX,POTTER
79111,"AMARILLO, TX",AMARILLO,TX,POTTER
79116,"AMARILLO, TX",AMARILLO,TX,POTTER
79117,"AMARILLO, TX",AMARILLO,TX,POTTER
79120,"AMARILLO, TX",AMARILLO,TX,POTTER
79124,"AMARILLO, TX",AMARILLO,TX,POTTER
79159,"AMARILLO, TX",AMARILLO,TX,POTTER
79178,"AMARILLO, TX",AMARILLO,TX,POTTER
79109,"AMARILLO, TX",AMARILLO,TX,RANDALL
79110,"AMARILLO, TX",AMARILLO,TX,RANDALL
79114,"AMARILLO, TX",AMARILLO,TX,RANDALL
79118,"AMARILLO, TX",AMARILLO,TX,RANDALL
79119,"AMARILLO, TX",AMARILLO,TX,RANDALL
79121,"AMARILLO, TX",AMARILLO,TX,RANDALL
79312,"AMHERST, TX",AMHERST,TX,LAMB
77514,"ANAHUAC, TX",ANAHUAC,TX,CHAMBERS
77830,"ANDERSON, TX",ANDERSON,TX,GRIMES
79714,"ANDREWS, TX",ANDREWS,TX,ANDREWS
77515,"ANGLETON, TX",ANGLETON,TX,BRAZORIA
77516,"ANGLETON, TX",ANGLETON,TX,BRAZORIA
75409,"ANNA, TX",ANNA,TX,COLLIN
75550,"ANNONA, TX",ANNONA,TX,RED RIVER
79501,"ANSON, TX",ANSON,TX,JONES
79821,"ANTHONY, TX",ANTHONY,TX,EL PASO
79313,"ANTON, TX",ANTON,TX,HOCKLEY
75926,"APPLE SPRINGS, TX",APPLE SPRINGS,TX,TRINITY
76622,"AQUILLA, TX",AQUILLA,TX,HILL
78335,"ARANSAS PASS, TX",ARANSAS PASS,TX,SAN PATRICIO
78336,"ARANSAS PASS, TX",ARANSAS PASS,TX,SAN PATRICIO
76351,"ARCHER CITY, TX",ARCHER CITY,TX,ARCHER
76226,"ARGYLE, TX",ARGYLE,TX,DENTON
76001,"ARLINGTON, TX",ARLINGTON,TX,TARRANT
76002,"ARLINGTON, TX",ARLINGTON,TX,TARRANT
76003,"ARLINGTON, TX",ARLINGTON,TX,TARRANT
